School Name,Sample Serial No ,Sample Source ,Sample Used,Latitude,Longetude ,pH (pH),Conductivity (μS/cm),TDS (ppmTDS),Salinity (PSU),Temperature,Total Iron (mg/L),Chloride (mg/L),Turbidity (NTU),Total Hardness (mg/L),TABC (CFU),TC (CFU),FC (CFU),E.Coli,,
Khadijatul Kobra Women Madrasha,1,Tubewell,Drinking + Sanitation,22○34′02″N,91○09′45″E,7.31,474,237,0.23,22.81,0.012,106.97,0.17,68,0,0,0,0,,
Char Ajmol Vumihin Bazar Government Primary School,2,Tubewell,Drinking + Sanitation,22○33′21″N,91○10′00″E,7.18,477,239,0.23,22.86,0.03,25.99,0.043,82,0,0,0,0,,
Char Mojid Jobayer Miar Hat Government Primary School,3,Tubewell,Drinking + Sanitation,22○34′30″N,91○08′12″E,7.24,442,221,0.21,23.5,0.011,92.97,0.02,82,0,0,0,0,,
Begom Nurjahan Memorial Government Primary School,4,Tubewell,Drinking,22○34′09″N,91○09′24″E,7.49,482,241,0.23,23.23,0.019,115.96,0.12,64,0,0,0,0,,
Dorbesh Bazar Hazi Gram Government Primary School,5,Tubewell,Drinking + Sanitation,22○32′57″N,91○08′41″E,7.48,480,240,0.23,22.86,0.034,77.98,0.23,32,0,0,0,0,,
Islampur Madinatul Ulum Madrasha,6,Tubewell,Drinking,22○33′07″N,91○08′19″E,7.66,847,423,0.42,23.23,0.023,188.94,0.12,88,10,0,0,0,,
Moddho Chabhata Ahang Government Primary School,7,Pump,Drinking,22○35′44″N,91○07′10″E,8.18,647,323,0.31,23.55,0.025,134.96,0.27,96,0,0,0,0,,
Jabbaria Government Primary School,8,Tap,Drinking,22○38′56″N,91○08′01″E,7.06,408,204,0.19,23.43,0.009,48.99,0.14,86,0,0,0,0,,
Katabunia Government Primary School,9,Tank,Drinking ,22○39′53″N,91○07′43″E,7.51,386,193,0.18,23.48,0.061,109.96,0.09,14,0,0,0,0,,
Charbhata Tajpur Government Primary School,10,Tap,Drinking + Sanitation,22○38′20″N,91○06′53″E,7.42,945,473,0.47,23.44,0.015,226.93,0.12,56,20,0,0,0,,
Uttor Charjubli Government Primary School,11,Tap,Drinking,22○33′21″N,91○10′00″E,7.48,756,378,0.37,23.41,0.044,199.94,0.3,62,70,0,0,0,,
Charjubli Ojifa Khatun Government Primary School,12,Tap,Drinking,22○38′36″N,91○07′09″E,7.58,389,194,0.19,23.44,0.025,58.98,<0.01,64,90,0,0,0,,
Charbhata Dokkhin Poshchim Government Primary School,13,Tubewell,Drinking,22○36′55″N,91○07′05″E,7.14,380,190,0.18,23.52,0.017,38.99,0.09,66,0,0,0,0,,
Charbhata Government Primary School,14,Tubewell,Drinking + Sanitation,22○38′08″N,91○07′45″E,7.31,402,201,0.19,23.6,0.014,21.66,0.42,96,0,0,0,0,,
Charbhata Shodagarhat Government Primary School ,15,Tap,Drinking,22○37′34″N,91○07′04″E,7.21,1836,917,0.93,23.56,0.12,466.52,0.11,160,30,0,0,0,,
Haji Lal Mia Government Primary School,16,Tubewell,Drinking + Sanitation,22○42′05″N,91○06′24″E,7.27,532,266,0.26,23.46,0.022,134.96,0.17,58,0,0,0,0,,
Mohammadpur Government Primary School,17,Tubewell,Drinking + Sanitation,22○42′09″N,91○09′16″E,7.32,603,301,0.23,23.37,0.011,130.96,0.16,74,0,0,0,0,,
Charjubli Waliullah Government Primary School,18,Tubewell,Drinking + Sanitation,22○40′36″N,91○05′56″E,7.25,489,245,0.24,23.47,0.031,125.96,<0.01,8,0,0,0,0,,
Hiromi Government Primary School,19,Tubewell,Drinking + Sanitation,22○42′27″N,91○08′36″E,7.39,439,219,0.19,23.48,0.006,24.99,0.04,4,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
